"Animals","Plants","Empty","Avg Energy","Avg  Lifetime","Avg Children"
"21","79","300","22","0","0"
"20","85","295","24","1","0"
"20","90","290","26","1","0"
"20","96","284","27","1","0"
"21","102","277","26","1","0"
"20","108","272","29","1","0"
"20","114","266","30","1","0"
"20","118","262","32","1","0"
"21","127","252","30","1","0"
"20","134","246","32","1","0"
"20","138","242","34","1","0"
"21","144","235","33","1","0"
"21","150","229","34","1","0"
"22","158","220","32","1","0"
"20","167","213","35","1","0"
"20","172","208","37","1","0"
"20","171","209","41","1","0"
"21","176","203","40","1","0"
"20","174","206","48","1","0"
"21","180","199","46","1","0"
"21","182","197","49","1","0"
"20","184","196","55","1","1"
"20","187","193","57","1","1"
"20","190","190","60","1","1"
"20","193","187","62","1","1"
"20","199","181","63","1","1"
"21","201","178","63","1","1"
"20","203","177","69","1","1"
"20","204","176","73","1","1"
"20","205","175","76","1","1"
"20","208","172","79","1","1"
"21","208","171","79","1","1"
"21","215","164","79","1","1"
"21","217","162","82","1","1"
"22","218","160","81","1","1"
"20","222","158","92","1","1"
"21","222","157","91","1","1"
"21","224","155","94","1","1"
"20","224","156","103","1","1"
"20","227","153","105","1","1"
"20","230","150","108","1","1"
"20","232","148","111","1","1"
"20","236","144","113","1","1"
"20","236","144","117","1","1"
"20","236","144","121","1","1"
"20","239","141","123","1","1"
"21","242","137","120","1","1"
"21","242","137","123","1","1"
"20","241","139","134","1","2"
"20","242","138","138","1","2"
"22","245","133","127","1","2"
"20","249","131","142","1","2"
"20","248","132","147","1","2"
"20","249","131","150","1","2"
"20","250","130","154","1","2"
"20","250","130","158","1","2"
"20","253","127","160","1","2"
"20","258","122","162","1","2"
"20","263","117","163","1","2"
"20","264","116","167","1","2"
"21","264","115","162","1","2"
"20","269","111","172","1","2"
"21","271","108","167","1","2"
"20","272","108","179","1","2"
"21","274","105","173","1","2"
"21","273","106","177","1","2"
"20","278","102","188","1","2"
"21","282","97","180","1","2"
"21","283","96","184","1","2"
"20","285","95","196","1","2"
"20","287","93","199","1","2"
"20","290","90","202","1","2"
"20","291","89","205","1","2"
"21","291","88","199","1","2"
"21","294","85","201","1","2"
"21","291","88","207","1","2"
"22","296","82","199","1","3"
"21","300","79","210","1","3"
"20","300","80","225","1","3"
